001
24-08-25 11:55
1814
412
Date,Time,Pos3Dx,Pos3Dy,Pos3Dz,Course,Pitch,Roll,Distance,Speed,Temp,BattV
2024-08-25,11:55:29,0.00,0.00,0.70,218.60,-17.10,-0.50,0.00,34.20,23.20,0.00
2024-08-25,11:55:30,0.00,0.00,0.90,220.60,-16.70,-2.90,0.58,32.80,23.20,3.80
2024-08-25,11:55:32,-0.91,-0.75,1.20,216.30,-18.40,-1.20,1.81,37.50,23.10,3.80
2024-08-25,11:55:34,-1.94,-1.48,1.40,213.40,-24.50,-4.70,3.10,37.50,23.10,3.80
2024-08-25,11:55:36,-2.89,-2.02,1.80,204.30,-25.60,0.40,4.26,34.50,23.10,3.80
2024-08-25,11:55:38,-2.89,-2.02,2.10,192.70,-26.20,6.50,4.39,31.40,23.00,-2.00
2024-08-25,11:55:39,-2.89,-2.02,2.30,196.60,-19.90,4.10,4.39,0.00,23.00,3.80
2024-08-25,11:55:41,-4.51,-2.59,2.60,206.10,-12.20,-2.70,6.19,37.90,22.90,3.80
2024-08-25,11:55:43,-5.46,-3.29,2.90,229.10,-18.40,11.50,7.42,38.30,22.90,3.80
2024-08-25,11:55:45,-5.91,-4.52,3.10,265.30,-26.60,14.70,8.77,40.30,22.90,3.80
2024-08-25,11:55:47,-5.88,-5.53,3.90,276.80,-24.70,5.90,10.06,41.60,22.80,3.80
2024-08-25,11:55:49,-5.73,-6.84,4.40,276.00,-24.40,-2.30,11.48,42.00,22.80,3.80
2024-08-25,11:55:51,-5.73,-8.06,4.70,262.80,-26.80,0.20,12.77,38.30,22.80,3.80
2024-08-25,11:55:53,-6.00,-9.28,5.20,251.20,-31.40,-1.80,14.13,39.40,22.70,3.80
2024-08-25,11:55:55,-6.41,-10.46,5.70,251.40,-25.00,-6.20,15.48,41.10,22.70,3.80
2024-08-25,11:55:57,-6.75,-11.24,5.90,246.70,-31.00,-5.60,16.39,25.10,22.60,3.80
2024-08-25,11:55:59,-7.15,-12.24,6.10,248.40,-20.30,-1.70,17.48,32.20,22.40,3.80
2024-08-25,11:56:01,-7.74,-13.42,6.30,237.10,-13.50,-5.10,18.84,40.30,22.20,3.80
2024-08-25,11:56:03,-8.56,-14.31,6.40,215.20,-19.30,-2.70,20.06,38.70,22.10,3.80
2024-08-25,11:56:05,-9.63,-14.83,6.60,197.10,-22.10,-3.60,21.29,37.50,21.90,3.80
2024-08-25,11:56:07,-10.78,-15.08,6.90,192.60,-20.80,0.00,22.52,36.80,21.80,3.80
2024-08-25,11:56:09,-12.05,-15.64,7.10,208.80,-2.80,1.30,23.94,48.90,21.70,3.80
2024-08-25,11:56:11,-13.18,-16.56,7.30,224.20,-9.20,-1.80,25.42,37.50,21.50,3.80
2024-08-25,11:56:13,-13.99,-17.56,7.30,236.70,-9.70,0.00,26.71,42.50,21.40,3.80
2024-08-25,11:56:15,-14.76,-18.67,7.30,233.50,-26.80,-3.90,28.06,38.70,21.40,3.80
2024-08-25,11:56:17,-15.56,-19.88,7.80,242.50,-20.30,-4.90,29.61,51.60,21.30,3.80
2024-08-25,11:56:19,-16.13,-21.14,8.10,249.50,-13.60,0.70,31.03,43.90,21.20,3.80
2024-08-25,11:56:21,-16.50,-22.55,8.30,260.80,-11.50,-4.30,32.52,44.40,21.10,3.80
2024-08-25,11:56:23,-16.65,-24.08,8.40,263.30,-9.20,-3.20,34.06,43.40,21.10,3.80
2024-08-25,11:56:25,-16.98,-25.51,8.60,250.10,-14.70,-5.30,35.55,42.50,21.00,3.80
2024-08-25,11:56:27,-17.69,-26.88,8.70,234.20,-16.70,-9.80,37.10,47.20,21.00,3.80
2024-08-25,11:56:29,-18.69,-28.01,9.00,226.50,-6.60,-7.10,38.65,47.20,20.90,3.80
2024-08-25,11:56:31,-19.84,-29.02,9.20,213.80,-7.70,-1.00,40.19,46.00,20.90,3.80
2024-08-25,11:56:33,-20.97,-29.88,9.20,227.30,-11.50,1.80,41.61,43.00,20.90,3.80
2024-08-25,11:56:35,-21.71,-30.92,9.40,238.60,-10.50,-4.40,42.90,40.30,20.80,3.80
2024-08-25,11:56:37,-22.45,-32.33,9.60,248.60,-8.10,6.20,44.52,47.20,20.80,3.80
2024-08-25,11:56:39,-22.91,-33.60,9.70,249.30,-13.80,4.20,45.87,43.40,20.80,3.80
2024-08-25,11:56:41,-23.45,-35.17,9.90,254.70,-1.90,-1.20,47.55,53.70,20.80,3.80
2024-08-25,11:56:43,-23.84,-36.70,9.80,258.60,20.70,-3.40,49.16,45.50,20.70,3.80
2024-08-25,11:56:45,-24.21,-38.11,9.60,255.40,32.70,-3.20,50.65,44.40,20.70,3.80
2024-08-25,11:56:47,-24.53,-39.43,8.90,246.20,9.10,-2.00,52.19,41.60,20.70,3.80
2024-08-25,11:56:49,-24.98,-40.45,8.20,246.20,-0.20,-2.40,53.55,42.00,20.70,3.80
2024-08-25,11:56:51,-25.56,-41.74,8.10,246.90,-10.30,-5.30,54.97,43.00,20.70,3.80
2024-08-25,11:56:53,-26.04,-43.13,8.30,259.60,-10.90,5.40,56.45,45.50,20.80,3.80
2024-08-25,11:56:55,-26.06,-44.66,8.50,276.50,-13.10,2.40,58.00,45.00,20.80,3.80
2024-08-25,11:56:57,-25.80,-46.09,8.70,286.40,-15.70,2.40,59.48,43.90,20.80,3.80
2024-08-25,11:56:59,-25.44,-47.36,9.20,285.40,-27.60,-0.30,60.90,44.40,20.80,3.80
2024-08-25,11:57:01,-25.04,-48.66,9.80,290.70,-25.10,-8.30,62.39,45.00,20.80,3.80
2024-08-25,11:57:03,-24.34,-50.03,10.10,303.90,-13.80,-6.40,64.00,51.60,20.70,3.80
2024-08-25,11:57:05,-23.38,-51.12,10.40,318.70,-7.00,-7.50,65.48,44.40,20.70,3.80
2024-08-25,11:57:07,-22.18,-51.97,10.60,330.60,-13.00,-7.00,66.97,42.50,20.70,3.80
2024-08-25,11:57:09,-20.90,-52.50,10.80,343.30,-11.30,-5.90,68.39,43.40,20.70,3.80
2024-08-25,11:57:11,-19.41,-52.81,11.00,351.40,7.00,-6.00,69.94,49.60,20.60,3.80
2024-08-25,11:57:13,-17.90,-52.94,10.70,1.20,14.60,-0.60,71.48,43.90,20.60,3.80
2024-08-25,11:57:15,-16.62,-52.63,10.50,21.30,3.80,3.60,72.84,42.50,20.60,3.80
2024-08-25,11:57:17,-15.32,-52.00,10.20,29.70,2.60,-2.80,74.32,43.40,20.60,3.80
2024-08-25,11:57:19,-14.14,-51.22,10.10,35.30,-2.00,-4.60,75.74,43.40,20.60,3.80
2024-08-25,11:57:21,-12.95,-50.34,10.10,37.90,0.70,-4.40,77.23,43.90,20.60,3.80
2024-08-25,11:57:23,-11.82,-49.29,10.00,47.20,7.10,-9.10,78.77,45.50,20.60,3.80
2024-08-25,11:57:25,-10.97,-48.16,9.90,59.30,6.00,4.10,80.19,41.60,20.60,3.80
2024-08-25,11:57:27,-10.28,-46.86,9.80,64.90,1.50,0.50,81.68,47.70,20.60,3.80
2024-08-25,11:57:29,-9.60,-45.48,9.60,65.60,-0.50,-1.90,83.23,48.30,20.60,3.80
2024-08-25,11:57:31,-8.76,-44.05,9.40,49.30,1.20,-7.40,84.90,50.90,20.60,3.80
2024-08-25,11:57:33,-7.59,-42.94,9.40,39.70,-4.10,-7.20,86.52,50.20,20.60,3.80
2024-08-25,11:57:35,-6.30,-41.98,9.50,36.80,-8.00,-7.60,88.13,48.30,20.60,3.80
2024-08-25,11:57:37,-5.08,-40.94,9.60,46.70,-16.00,-6.00,89.74,46.60,20.60,3.80
2024-08-25,11:57:39,-3.96,-39.70,9.70,48.10,-3.80,-11.50,91.42,54.50,20.60,3.80
2024-08-25,11:57:41,-2.83,-38.38,9.80,53.70,-6.40,-10.10,93.16,49.60,20.60,3.80
2024-08-25,11:57:43,-2.04,-37.22,9.80,56.00,-20.40,-8.90,94.58,47.20,20.60,3.80
2024-08-25,11:57:45,-1.38,-36.22,10.00,55.10,-11.80,-7.70,95.81,51.60,20.60,3.80
2024-08-25,11:57:46,-1.38,-36.22,10.20,52.20,-9.80,-1.40,95.81,51.60,20.60,-3.00
2024-08-25,11:57:56,-1.38,-36.22,9.70,111.10,17.80,3.30,95.81,3.40,20.60,3.80
2024-08-25,11:57:58,-1.71,-35.37,9.30,107.20,4.60,-6.90,97.16,26.50,20.60,3.80
2024-08-25,11:58:00,-2.06,-34.06,9.20,103.10,10.70,-6.20,98.52,39.40,20.60,3.80
2024-08-25,11:58:02,-2.40,-32.70,9.00,103.20,-0.90,-10.10,99.94,41.10,20.60,3.80
2024-08-25,11:58:04,-2.74,-31.29,8.80,103.30,6.00,-9.10,101.42,43.90,20.60,3.80
2024-08-25,11:58:06,-3.05,-30.08,8.50,103.70,1.40,-3.10,102.71,33.60,20.60,3.80
2024-08-25,11:58:08,-3.37,-28.84,8.30,106.80,2.10,-5.80,104.00,43.40,20.60,3.80
2024-08-25,11:58:10,-3.88,-27.52,8.30,112.60,1.20,-7.80,105.42,45.50,20.60,3.80
2024-08-25,11:58:12,-4.39,-26.14,8.10,106.50,-2.60,-6.40,106.90,45.00,20.70,3.80
2024-08-25,11:58:14,-4.72,-24.76,8.10,98.30,8.00,-4.10,108.32,47.70,20.70,3.80
2024-08-25,11:58:16,-4.92,-23.30,8.00,95.50,9.40,0.50,109.81,45.00,20.70,3.80
2024-08-25,11:58:18,-5.00,-21.78,7.70,88.50,3.10,-7.80,111.35,47.20,20.70,3.80
2024-08-25,11:58:20,-4.95,-20.89,7.60,91.90,-5.60,-18.90,112.26,38.70,20.70,3.80
2024-08-25,11:58:22,-4.96,-20.83,7.50,90.10,-4.30,-14.40,112.32,18.20,20.70,-4.00
2024-08-25,11:58:27,-4.96,-20.83,7.40,75.10,-3.70,-7.50,112.32,5.80,20.70,3.80
2024-08-25,11:58:29,-4.41,-19.02,7.30,74.70,15.60,-2.60,114.26,42.50,20.70,3.80
2024-08-25,11:58:31,-4.26,-17.60,6.90,89.80,9.70,-3.20,115.74,42.00,20.80,3.80
2024-08-25,11:58:33,-4.29,-16.08,6.70,92.60,18.20,-1.80,117.29,48.30,20.80,3.80
2024-08-25,11:58:35,-4.41,-14.63,6.20,98.50,16.40,0.30,118.84,47.20,20.90,3.80
2024-08-25,11:58:37,-4.70,-13.19,5.70,103.70,4.30,-5.60,120.39,46.00,21.00,3.80
2024-08-25,11:58:39,-5.05,-11.78,5.50,103.50,5.30,-5.90,121.87,48.30,21.20,3.80
2024-08-25,11:58:41,-5.45,-10.23,5.30,106.60,2.30,0.50,123.48,46.60,21.40,3.80
2024-08-25,11:58:43,-5.89,-9.00,5.00,109.30,21.00,11.90,124.84,45.50,21.70,3.80
2024-08-25,11:58:44,-5.89,-9.00,5.00,113.00,15.80,10.20,124.84,45.50,21.70,-5.00
2024-08-25,11:58:49,-5.89,-9.00,4.30,106.00,15.00,-8.00,124.84,40.30,22.00,3.80
2024-08-25,11:58:51,-5.85,-7.23,3.80,78.90,34.10,-9.60,127.42,53.70,22.20,3.80
2024-08-25,11:58:53,-5.60,-6.35,2.80,61.60,15.60,-20.60,128.77,48.90,22.30,3.80
2024-08-25,11:58:55,-4.64,-5.28,2.00,36.60,35.00,-14.10,130.45,51.60,22.30,3.80
2024-08-25,11:58:57,-4.26,-4.95,1.50,38.60,14.70,-11.50,131.35,27.20,22.40,3.80
2024-08-25,11:58:59,-3.37,-4.29,0.60,33.40,15.30,-12.20,132.77,51.60,22.50,3.80
2024-08-25,11:59:01,-3.16,-4.17,0.30,41.40,26.50,8.60,133.16,50.90,22.60,-6.00
2024-08-25,12:01:39,-3.16,-4.17,3.90,143.00,-30.70,15.60,133.16,0.00,22.70,3.83
2024-08-25,12:01:41,-3.16,-4.17,3.80,189.10,-38.80,36.40,133.16,0.00,22.70,3.83
2024-08-25,12:01:43,-3.16,-4.17,3.90,240.00,-41.70,5.80,133.16,0.00,22.70,3.83
2024-08-25,12:01:45,-3.27,-4.33,3.90,259.60,-46.80,-3.50,133.35,1.80,22.70,3.83
2024-08-25,12:01:47,-3.20,-4.90,3.90,300.80,-44.90,-20.70,133.94,13.00,22.70,3.83
2024-08-25,12:01:49,-2.99,-5.15,4.20,351.50,-39.70,-13.80,134.32,0.00,22.70,3.83
2024-08-25,12:01:51,-2.99,-5.15,4.50,62.60,-29.30,-43.10,134.52,0.00,22.60,3.83
